iter	Passed	Remaining
0	12	12200
1	18	9066
2	24	8158
3	32	8019
4	36	7296
5	40	6788
6	47	6697
7	52	6491
8	56	6275
9	63	6294
10	69	6225
11	73	6072
12	80	6093
13	84	5948
14	88	5826
15	94	5813
16	98	5711
17	102	5618
18	108	5624
19	113	5580
20	118	5506
21	122	5442
22	127	5434
23	132	5391
24	136	5332
25	145	5451
26	150	5412
27	157	5455
28	161	5415
29	166	5385
30	173	5430
31	178	5411
32	184	5397
33	190	5407
34	195	5383
35	199	5352
36	206	5380
37	211	5357
38	216	5326
39	223	5352
40	227	5332
41	232	5307
42	238	5314
43	243	5290
44	248	5269
45	254	5287
46	259	5265
47	265	5270
48	273	5314
49	280	5333
50	289	5379
51	295	5379
52	299	5352
53	305	5357
54	310	5338
55	315	5318
56	323	5358
57	330	5373
58	339	5417
59	344	5403
60	352	5430
61	358	5429
62	364	5420
63	371	5438
64	376	5418
65	381	5392
66	387	5397
67	392	5376
68	396	5356
69	403	5359
70	408	5338
71	412	5321
72	418	5318
73	423	5298
74	428	5282
75	435	5300
76	441	5295
77	447	5295
78	452	5279
79	457	5259
80	462	5241
81	468	5240
82	472	5221
83	477	5204
84	483	5200
85	487	5182
86	492	5169
87	498	5169
88	503	5150
89	508	5138
90	514	5140
91	519	5126
92	524	5111
93	530	5109
94	534	5094
95	539	5077
96	545	5074
97	549	5061
98	554	5046
99	559	5031
100	566	5043
101	571	5029
102	575	5012
103	582	5015
104	586	5001
105	591	4988
106	598	4991
107	602	4975
108	606	4958
109	612	4958
110	616	4941
111	621	4925
112	627	4925
113	631	4911
114	636	4895
115	640	4879
116	646	4882
117	651	4867
118	655	4853
119	662	4859
120	666	4844
121	670	4828
122	676	4825
123	680	4808
124	684	4792
125	688	4778
126	694	4776
127	698	4760
128	702	4745
129	709	4746
130	713	4733
131	717	4719
132	723	4716
133	727	4703
134	732	4690
135	736	4678
136	742	4679
137	746	4665
138	751	4654
139	757	4654
140	762	4642
141	766	4630
142	770	4615
143	774	4603
144	779	4593
145	783	4580
146	789	4579
147	793	4568
148	800	4574
149	809	4584
150	816	4591
151	829	4628
152	838	4639
153	846	4647
154	858	4679
155	865	4685
156	875	4703
157	882	4700
158	888	4699
159	892	4687
160	898	4680
161	904	4679
162	909	4668
163	914	4663
164	922	4667
165	927	4660
166	934	4663
167	940	4658
168	947	4658
169	956	4668
170	961	4659
171	967	4655
172	971	4645
173	975	4633
174	979	4619
175	986	4617
176	990	4604
177	994	4593
178	1001	4591
179	1005	4579
180	1009	4567
181	1015	4565
182	1019	4552
183	1023	4540
184	1028	4530
185	1035	4529
186	1039	4519
187	1043	4508
188	1050	4506
189	1054	4495
190	1059	4485
191	1064	4481
192	1069	4469
193	1073	4460
194	1079	4456
195	1084	4446
196	1088	4437
197	1092	4426
198	1098	4423
199	1103	4415
200	1107	4403
201	1114	4404
202	1119	4394
203	1123	4384
204	1130	4382
205	1134	4373
206	1139	4365
207	1145	4362
208	1150	4353
209	1154	4344
210	1160	4340
211	1165	4331
212	1169	4321
213	1173	4310
214	1180	4308
215	1184	4300
216	1188	4289
217	1196	4291
218	1201	4285
219	1206	4279
220	1214	4282
221	1220	4275
222	1227	4278
223	1233	4274
224	1238	4267
225	1247	4271
226	1253	4267
227	1261	4271
228	1266	4265
229	1272	4260
230	1277	4254
231	1283	4248
232	1292	4254
233	1298	4249
234	1310	4265
235	1323	4284
236	1335	4300
237	1345	4307
238	1352	4305
239	1356	4296
240	1361	4289
241	1367	4283
242	1372	4274
243	1376	4265
244	1380	4255
245	1387	4252
246	1392	4246
247	1397	4237
248	1403	4233
249	1407	4223
250	1412	4213
251	1418	4211
252	1423	4202
253	1427	4192
254	1434	4189
255	1439	4182
256	1443	4173
257	1449	4170
258	1454	4159
259	1457	4149
260	1462	4139
261	1468	4135
262	1472	4126
263	1476	4117
264	1483	4115
265	1488	4107
266	1492	4097
267	1498	4093
268	1502	4083
269	1506	4074
270	1511	4064
271	1517	4060
272	1521	4052
273	1525	4042
274	1533	4042
275	1537	4033
276	1542	4026
277	1548	4022
278	1553	4013
279	1557	4004
280	1563	4000
281	1567	3991
282	1571	3982
283	1575	3972
284	1582	3969
285	1586	3960
286	1592	3955
287	1598	3951
288	1602	3942
289	1608	3936
290	1614	3932
291	1619	3926
292	1626	3924
293	1631	3918
294	1637	3913
295	1643	3909
296	1648	3902
297	1653	3895
298	1660	3893
299	1665	3886
300	1670	3878
301	1677	3876
302	1682	3869
303	1686	3861
304	1693	3859
305	1699	3854
306	1705	3850
307	1712	3848
308	1717	3841
309	1722	3833
310	1728	3829
311	1733	3821
312	1737	3813
313	1743	3809
314	1747	3801
315	1752	3792
316	1758	3789
317	1762	3780
318	1767	3772
319	1773	3769
320	1778	3761
321	1782	3753
322	1788	3749
323	1793	3742
324	1797	3734
325	1802	3726
326	1808	3722
327	1812	3713
328	1816	3705
329	1823	3701
330	1827	3693
331	1832	3687
332	1840	3685
333	1846	3681
334	1853	3680
335	1859	3674
336	1864	3667
337	1871	3664
338	1875	3657
339	1881	3652
340	1889	3651
341	1895	3647
342	1902	3643
343	1907	3637
344	1912	3630
345	1918	3626
346	1924	3621
347	1928	3613
348	1935	3611
349	1940	3603
350	1944	3595
351	1951	3591
352	1956	3585
353	1960	3578
354	1966	3573
355	1971	3567
356	1976	3559
357	1983	3556
358	1987	3549
359	1992	3541
360	1998	3538
361	2004	3533
362	2009	3526
363	2018	3526
364	2024	3521
365	2029	3515
366	2035	3510
367	2040	3503
368	2045	3497
369	2051	3492
370	2055	3485
371	2060	3477
372	2066	3474
373	2071	3467
374	2075	3459
375	2082	3455
376	2086	3448
377	2091	3440
378	2097	3436
